paragraph_index,original_text
5650,"rpc : 11.2.44 (īśvare tad-), 11.2.51, 11.2.43, 7.1.29-30, 10.87.23 (nibhṛta-marun-), 10.74.46."
5651,"hds : 1.5.28, 11.12.13, 11.2.46 (īśvare tad-adhīneṣu)"
5661,"rpc : gītā 18.55, 11.12.12, 10.29.12-15, 11.5.38 (sva-pāda-mūlaṁ), 10.14.3-4, 11.20.7-8, 10.14.36, 10.22.26, 10.47.59 (kvemāḥ)."
5722,"rpc : 8.14.2, brahmaṇā saha te sarve samprāpte pratisañcare | parasyānte kṛtātmanaḥ praviśati paraṁ padam ||)"
5835,"rpc : 1.16.24-27, 10.2.34-36, 6.4.29, cai.ca. 2.21 (kṛṣṇera madhura rūpa śuna sanātana)"
5836,"hds : 1.1.1 (satyaṁ paraṁ dhīmahi), 3.33.3, 1.16.17, 1.16.30-31, 2.2.26"
5862,"rpc : vi.pu. 1.8.15, 1.9.118, bhā. 10.47.60-61, 10.87.23."
5873,"rpc : 10.29.37, 4.9.10, 10.2.32, 10.14.48, bra.vai.pu. 3.111.58 (mura kleśe ca santāpa-karma-bhoge ca karmaṇām | daitya-bhede hy aris teṣāṁ murāris tena kīrtitaḥ ||), bhā. 10.22.26, cai.ca. 2.21 (rūpa dekhi āpanāra, kṛṣṇera haila camatkāra), 10.33.17, ramante yogino’nante, kṛṣi bhūr-vācakaḥ, bhā. 6.3.32, 11.6.7, 11.6.15."
5957,"rpc : 10.10.38 (vāṇī), 10.47.58, 7.4.30, 10.30.14"
5980,rpc : 9.4.49 (sādhavo)
6082,"rpc : 3.9.11, 10.60.36, 10.64.29, gītā 4.11, bhā 3.32.28."
6095,"rpc : gītā 9.11, bhā. 10.87.39, 1.3.33-34."
6137,"rpc : bhakti-rasāyana 1.33-35, 9.4.48, gītā 8.22, 7.17; bhā. 2.7.41, 11.29.9-10, 11.29.12-13, 11.29.17-18."
6226,"rpd : 11.5.19, gīta 6.5"
6237,rpd : rā.tā.u.1.4.3 (yathā nāmī)
6561,"rpc: 11.23.50, 3.16.26, 11.5.37-38, 11.28.31-32, nā.u. 5.12.3, gītā 3.17."
6612,"rpc: 11.21.35, 11.25.41-42, 11.21.41 (kiṁ vidhatte)"
6613,hds: 11.21.43-44 (kiṁ vidhatte)
6788,"rpc: 7.13.8-9, 11.18.27-28, gītā 6.40"
6895,"rpc: 11.2.53 (visṛjati…), karṇāmṛta 3.96, 11.29.6."
6896,"hds: 11.2.55 (visṛjati…), 11.14.16."
6933,"rpc: tulasī-dala-mātreṇa, 6.16.30, 9.4.48, 10.80.8, 11.2.29, 10.48.22, 7.10.4-6"
7083,"rpc : gītā 6.15, bhāgavata 5.12.13, 10.44.15, 11.20.29-30, 3.29.11-12."
7084,hds: bhā.pu. 1.1.3.
7345,"rpc : 11.20.32-34, 11.26.30, karṇāmṛta 107 (bhaktis tvayi)"
7615,"rpc : gītā 8.24, 2.2.17, 3.25.35, 10.46.32"
7760,"rpc : 6.3.17-18, 11.21.5, 11.19.17, 11.10.29, 10.9.11, 2.10.9, īśo. 16, acintyāḥ khalu ye bhāvāḥ, 2.6.34."
7859,"rpc : 3.32.12-15, 3.15.47, gītā 7.23, 9.25, 18.65, 4.11, bhā. 11.25.22, 10.129.15, unknoasyan (ihāsane śuṣyatu me śarīraṁ tvag-asthi-māṁsaṁ vilayaṁ ca yāntu | aprāpya bodhiṁ bahu-kalpa-durlabhaṁ naivāsanāt kāyaḥ samuccaliṣyate ||)"
7951,"rpc : 11.28.34-35, 10.14.23, gītā 15.17"
7972,"rpc : 11.29.34, 11.19.2, 6.16.63, 7.13.57, 6.16.9-10, 2.2.31, 3.29.13, ka.u. 2.1.15, mu.u. 3.2.8, skanda-purāṇa (udake tūdakaṁ siktaṁ miśam eva yathā bhavet | na caitad eva bhavati yato vṛddhiḥ pradṛśyate || evam eva hi jīvo’pi tādātmyaṁ paramātmanā | prāpnoti nāsau bhavati svātantryādi-viśeṣaṇāt ||) "
8021,rpc : gītā 6.22
8106,"hds: 3.25.37, 1.1.1 (tene brahma hṛdā…), 10.87.24"
8268," This line is from an unnamed source, quoted in Śaṅkara’s Śarīraka-bhāṣya. I couldn’t find the sources of any of the other quotes."
8270, A number of differences from the accepted Bṛhad-āraṇyaka reading.
8273, maheśvaraḥ in the Bhāgavatam.
8276, Ramanuja splits this sutra at tarkāpratiṣṭhānād api.
8279," The Ramanuja reading of this sutra is itaretara-pratyayatvād iti cet, na, saṅghāta-bhāvānimittatvāt |"
8285," Quoted in Paramātma-sandarbha 19, attributed to Padma-purāṇa. "
8286, From the Mahāvarāha-purāṇa (according to S.C. Vasu).
8289," Baladeva quotes the same verse to Gītā 13.16, but it is given there simply as śruti."
8290, Shankara has this as sapta-gaty-adhikaraṇam and does not start a new adhikarana with the next verse..
8292, These same texts are quoted in Shankara’s bhaṣya in the exact same sequence. They are not found in Bṛhad-āraṇyaka and appear to be a paraphrase of several texts from several sources. See Praśna 2.12.-13 and 3.4.
8297, Quoted by Ramanuja in his bhāṣya.
8298," aniṣṭādi-kāry-adhikaraṇam in Shankara, etc. Haridas Shastri divides the adhikaranas at the next sutra, though this division seems more logical."
8300, Not found in Mahābhārata.
8311," This reading is the HDS, Krishnadas version. bhedād iti ced ekasyām api (RPC) |, bhedān neti cen naikasyām api (Vasu edition)"
8312, This sūtra is combined with the following sutra by Shankara.
8321," RPC says this is from the Yajurveda version of Pūruṣa-sūkta, but gives no numbers."
8326," This is the reading of Shankara, Madhva and Vallabha. Baladeva adds tu after upetaḥ. Ramanuja has api after teṣām."
8327, Shankara credits this verse to śruti.
8330, sa etān gamayati in text.
8331," This reading is found in Shankara and Vallabha. Ramanuja, Madhva and Baladeva read apratīkālambanān nayatīti bādarāyaṇa ubhayadhā ca doṣāt tat-kratuś ca ."
