paragraph_index,original_iast,run_count
52,"advaita-guruṇāpi, īkṣater āśabdaṁ [ve.sū. 1.1.5] ity atra sāṅkhya-pūrva-pakṣam ākṣipataivaṁ vyākhyam, yathā—",3
53,"yad apy uktaṁ prāg-utpatter brahmaṇaḥ śarīrādi-sambandham antareṇekṣitṛtvam anupapannam iti | na tac-codyam avatarati savitṛ-prakāśavad brahmaṇo jñāna-svarūpa-nityatve jñāna-sādhanāpekṣānupapatteḥ | api ca, avidyādimataḥ saṁsāriṇaḥ śarīrādy-apekṣā-jñānotpattiḥ syāt, na jñāna-pratibandha-kāraṇa-śūnyasyeśvarasya | mantrau cemau īśvarasya śarīrādy-anapekṣatām anāvaraṇa-jñānatāṁ ca darśayataḥ—na tasya kāryaṁ [śve.u. 6.8] ity ādi, apāṇi-pādaḥ [śve.u. 3.19] ity-ādīni || iti |",6
54,"jñāna-nityatve jñāna-viṣaya-svātantrya-vyapadeśo nopapadyata iti cet ? na, pratatoṣṇa-prakāśo’pi savitari dahati, prakāśayatīti—svātantrya-vyapadeśa-darśanād iti ca | ittham evādvaita-śārīraka eka-vijñāna-vāda-nirākaraṇe, nābhāva upalabdheḥ [ve.sū. 2.1.18] ity asya vyākhyāne sākṣitvaṁ caitanyasya dṛśyate | tasmād ekasyaiva tattvasya svarūpatvaṁ, svarūpatvāparityāgenaiva śaktitvaṁ ca siddham |",3
56,"tac chaktiḥ parameśvarasya vimalā caitanyam evocyate, sā satyaiva parā jaḍā bhagavataḥ śaktis tv avidyocyate | saṁsargāc ca mithas tayor bhagavataḥ śaktyor jagaj jāyate tac-chaktyā sa-vikārayā bhagavataś cic-chaktir udricyate || iti |",3
59,avidyā karma-saṁjñānyā tṛtīyā śaktir iṣyate || [vi.pu. 6.7.61] iti |,2
60,atra viṣṇu-śaktiḥ viṣṇoḥ svarūpa-bhūtā parā cit-svarūpā śaktiḥ parama-pada-para-brahma-para-tattvādy-ākhyā proktā | pratyastamita-bhedaṁ yat tat sattā-mātraṁ [vi.pu. 6.7.53] ity atra prāg-uktaṁ svarūpam eva kāryonmukhaṁ śakti-śabdenoktam iti ||,3
67,vijñātā caiva kārtsnyena trividhā bhāva-bhāvanā || [vi.pu. 6.8.7] iti |,3
69,"nāga-patnī-stutau caivaṁ tair vyākhyātam, jñāna-vijñāna-nidhaye [bhā.pu. 10.16.40] ity ādau—",3
71,ayam arthaḥ—aguṇatvād avikāraṁ brahma-jñapti-mātratvāt kāraṇātītaṁ prakṛti-pravartako’nanta-śaktir vijñāna-nidhitvād īśvaraḥ kāraṇaṁ tad ubhayātmane nama iti || [bhāvārtha-dīpikā],2
75,"kiṁ ca, brahmaṇo lakṣaṇa-vicāre’py abheda-vādibhir api tādṛśa-svagata-bheda-vṛttir aparihāryā dṛśyate | tathā hi—vijñānam ānandaṁ brahma [bṛ.ā.u. 3.9.28] iti | kim iha vijñānānanda-śabdāv ekārthau bhinnārthau vā ? nādyaḥ, paunaruktyāt | antyaś cet, vijñānatvam ānandatvaṁ ca tatraikasminn eveti tādṛśa-svagata-bhedāpattiḥ | atha tau jāḍya-duḥkha-pratiyogi-parau tau vyāvartya tvat-pratiyogi yad ekaṁ vastu tad eva brahmeti pratipādayataḥ tad apy ayuktam | tad-dvaya-vyāvṛttir yathā-svaṁ [atra pakṣe svarūpa-viśeṣaṇa-mātraṁ] dvayam evopasthāpayituṁ yuktā | anupasthāpane vā śūnya-vāda-prasaṅga iti | ",6
76,"kiṁ ca, yad ekam upasthāpyate, tat kiṁ tayor ekataraṁ tābhyām anyad eva vā ? ekatarad iti cet anyatara-parityāge ko hetuḥ ? ekatarasya vā kathaṁ dvi-pratiyogitā ? athānanda-mātre dvayor api pratiyogitopalabhyate iti | tad eva lāghavenāvaśiṣṭam iti cet ? ānande vijñānatvam apy astīty āyātam | tat-pratiyogitvena tat-pratīteḥ | tato vijñānaṁ punar-uktam eveti doṣāntaraṁ ca tenaiva tat-tad-vyāvṛtti-siddheḥ | kiṁ vā, vijñānasya vijñāne’smiṁś cānugatatvenāvyabhicārāt tad evāvaśiṣṭam astu tataś cānandatāhānyā puruṣārthatvābhāvaś ca |",7
87,"tathā ca tābhyāṁ śabdābhyāṁ svatas tatra praveśāsāmarthye sati, brahma-śabdasya bṛhattva-nirukti-balāt, satyaṁ jñānam anantaṁ brahma ity ādāv anantatvena ca śrutatvāj jahal-lakṣaṇayā te atitucche parityājye tayos tirguṇa-mayatvena ca jaḍa-duḥkhaika-rūpayor api sva-sānnidhyena tattāsphorakam anirdeśaym eka-rūpam eva vastūpasthāpyate | yena cetayate viśvam, eṣa hy evānandayati [tai.u. 2.7.1] śabdaś ca tathā tasmāt tat-tad-upādhi-parityāgāyaiva śabda-dvayopanyāso, na tu dvi-dharmatā-vivakṣayā | tathā tat-tad-upādhāv eva tat-tad-bheda-vyavahāro na tūpahite tatrety etad api parihṛtaṁ bhavati |",8
90,"tataś ca tatra tatra pārthakyenodayād asty eva svarūpa-dharma-bhedaḥ | tatrāpi nīlādy-ākāra-vṛttau pārthakyam atisphuṭam eva | yadi tatra jaḍa-pratiyogitā-duḥkha-pratiyogitayor bhedo na syāt, tadā tasyām api vṛttau sukham upalabhyataiva svagataika-deśānaṅgīkṛtetareka-deśodaya-virodhāt | ata eva ānandādayaḥ pradhānasya [ve.sū. 3.3.11] iti bhedenāpy upakrāntavantaḥ sūtrakārāḥ |",3
93,"na ca jāti-guṇādi-hīnatayā tatra śabdaḥ sākṣān na pravarteta iti yad-vākyaṁ svarūpa-śabdavat tasya svarūpālambana-saṅketena ca pravartayituṁ śakyatvāt | yat tu yato vāco nivartante [tai.u. 2.4.1] ity ādikaṁ śrūyate, tad idam īdṛśam iyaṁ parimāṇaṁ veti nirdeśāsāmarthya-param eva alaukikatvād anantatvāt |",3
94,agre’pi sayuktika-vicāraṇaṁ svayam eva bhavatā tattā-śabdena parāmṛṣṭāyāḥ sukhatāyāḥ sphorakam anirdeśyam avyavahāryaṁ vastv ekam ity uktvā tat-tac-chabda-pravartanāt | etasyaivānandasyānyāni bhūtāni mātrām upajīvanti [bṛ.ā.u. 4.3.32] ity ādiṣu śrutiṣv api tatraiva mukhya-vṛtty-ānanda-śabda-pravṛtti-darśanāt | adṛṣṭam avyavahāryam avyapadeśyaṁ sukham ity ādiṣv api tathā-bhūtatve’pi sukha-śabda-prayogāt | ānanda-mayo’bhyāsāt [ve.sū. 1.1.12] ity ādi-nyāya-prasiddhāc ca |,7
95,"kiṁ cedaṁ pṛcchāmaḥ, tad ānanda-rūpaṁ bhavati na vā ? bhavati cet, āyātā asya tat-saṁjñā duḥkha-pratiyogitvaṁ ca, neti cet apuruṣārthatvam | tasmātd ānanda-rūpaṁ bhavati | kintu na loka-prasiddhānanda-rūpaṁ tad ity eva vācyam iti sthite tv asmākam eva samīcīnaḥ panthāḥ | evaṁ satyaṁ jñānam anantaṁ [tai.u. 2.1.1] ity atrāpi satyatvādi-dharma-bhedas tatra vivecanīyaḥ | atrāpy asatya-jaḍa-paricchinna-vyāvartam api dharma-viśeṣa eva ||",4
96,"yady evam ucyate, yathā—śauklyādikasya kārṣṇādi-vyāvartanam api tat-padārtha-svarūpam eva na dharmāntaraṁ tatheti, tadā tad-vyāvṛtti-yogyatāstīty avaśyaṁ mantavyam | yogyatā ca—śaktir eveti “ghaṭṭa-kuṭyām eva prabhātam” | ghaṭṭa-kuṭī-prabhāta-nyāyaḥ, ghaṭṭo nadī-tīrādi-sthānaṁ, ghāṭa iti bhāṣāyāṁ prasiddhas tatra kuṭī vaṇig-ādibhyo rāja-grāhya-bhāga-grāhaka-rāja-bhṛtya-nivāsārtha-sthāna-viśeṣaḥ | yathā ghaṭṭa-kuṭī-sthebhyaḥ kara-grāhibhyo bhītyā rātrau palāyitānāṁ pathityatāṁ vaṇijāṁ dūre gatvāpi yathā bhrānti-vaśāt tatra ghaṭṭa-kuṭyām eva prabhātodayas tathā prakṛte’pi | ",4
99,"tatraivānyatroktaṁ—satyaṁ jñānam anantaṁ brahma [tai.u. 2.1.1] ity atrāpi sāmānādhikaraṇyasyāneka-viśeṣaṇa-viśiṣṭaikārthbhidhāna-vyutpattyā na nirviśeṣa-vastu-siddhiḥ | pravṛtti-nimitta-bhedenaikārtha-vṛttitvaṁ hi sāmānādhikaraṇyam | tatra satya-jñānādi-pada-mukhyārthair guṇais tat-tad-guṇa-virodhy-ākāra-pratyanīkākārair vā ekasminn evārthe padānāṁ pravṛttau nimitta-bhedo’vaśyāśrayaṇīyaḥ | iyāṁś ca viśeṣaḥ—ekasmin pakṣe padānāṁ mukhyārthatā, aparasmiṁś ca teṣāṁ lakṣaṇā | na cājñānādīnāṁ pratyanīkatā vastu-svarūpam eva | ekenaiva padena svarūpaṁ pratipannam iti padāntara-prayoga-vaiyarthyāt | tathā sati sāmānādhikaraṇyāsiddhiś ca, ekasmin vastuni vartamānānāṁ padānāṁ nimitta-bhedānāśrayaṇāt | na caikasyaivārthasya viśeṣaṇa-bhedena viśiṣṭatā-bhedād anekārthatvaṁ padānāṁ sāmānādhikaraṇya-virodhi | ekasyaiva vastuna aneka-viśeṣaṇa-viśiṣṭatā-pratipādana-paratvāt sāmānādhikaraṇasya | bhinna-pravṛtti-nimittānāṁ śabdānām ekasminn arthe vṛttiḥ sāmānādhikaraṇyam iti hi śābdikāḥ |",5
105,nānyaḥ panthā vidyate’yanāya || [śve.u. 3.8],2
108,ya enaṁ vidur amṛtās te bhavanti || [ma.nā.u. 1.8],2
109,"evaṁ sūtra-kāram ata eva tasyānandaika-rūpatayā prakāśe’py udaya-bhedā ānanda-mayo’bhyāsād iti dṛśyate, yathā hi ānanda-mayo’bhyāsāt [ve.sū. 1.1.12] ity ādi-prakaraṇam | taittirīyake—anna-mayaṁ prāṇa-mayaṁ mano-mayaṁ vijñāna-mayaṁ ca śiraḥ-pakṣādi-rūpakeṇānukramyāmnāyate | tasmād vā etasmād vijñāna-mayād anyo’ntarāntā ānanda-mayaḥ—tasya priyam eva, śiro modo dakṣiṇaḥ pakṣa, modo dakṣiṇaḥ pakṣaḥ, pramoda uttaraḥ pakṣaḥ | ānanda ātmā | brahma pucchaṁ pratiṣṭhā || iti | ",7
110,"tatra saṁśayaḥ—kim idam ānanda-maya-śabdena param eva brahmocyate ? kiṁ vānna-mayādivad brahmaṇo’rthāntaram iti ? tatra brahma pucchaṁ pratiṣṭheti, brahma-śabda-yoga-balena puccha-śabda-vyapadiṣṭasyaiva brahmatve labdha ity ucyate—ānanda-mayo’bhyāsāt [ve.sū. 1.1.12] brahma-śabdo’trādhikāra-labdhaḥ | sa cānanda-maya iti prathamānta-pāṭhāt prathamānta eva anusmaryate | ākāśas tal-liṅgāt [ve.sū. 1.1.23] ity ādivat |",5
111,"tataś cāyam arthaḥ—ānandamaya-sannidhāne—so’kāmayata bahu syāṁ prajāyeya [tai.u. 2.6.2] iti | tat-prabhṛtyante caitam ānanda-mayam upasaṅkrāmatīti | tathā caturveda-śikhāyām api—sa śiraḥ sa dakṣiṇaḥ pakṣaḥ, sa utaṁraḥ pakṣaḥ, sa ātmā, sa pucchaḥ iti cābhyāsa śravaṇād ānanda-maya ātmaiva para-brahma | asann eva sa bhavati [tai.u. 2.6.1] ity ādikaṁ tv artha-vādaḥ praśaṁsā-vākyam eva, nābhyāsa-vākyaṁ śloka-śabdenoktatvāt praśaṁsā-garbhatvāc ca |",7
114,"na ca priyādīnām iṣṭa-putra-darśanajādi-lakṣaṇa-laukikānandatvam ucitam | pāramārthika-pathārohānukrama-prakriyāyā eva pūrva-pūrvātmasūpakrāntatvāt | yathā, tasya yajur eva śiraḥ [tai.u. 2.3] ity ādi |",3
115,"ata evālaukika-viśeṣavattve sati tasya, yato vāco nivartante ity ādi-mahimā ca saṅgataḥ syāt | atrānandasyaikasyaivodayāpacayopacaya-mātra-vivakṣitatvena priyādi-bhedān na vijñāna-mayādivat pṛthag guṇatvam ||",3
116,"ata eva tṛtīye adhyāye tṛtīya-pāde sūtra-kārair api, ānandādayaḥ pradhānasya [ve.sū. 3.3.11] ity anenānandādīnām ekatroktānām api sarvatropāsanāyāṁ samāhṛtiś cintitā | priyādīnāṁ tu sā parihṛtā | priya-śiras tv ādya-prāptir upacayāpacayau hi bhede [ve.sū. 3.3.12] ity anena tatraikasyaivānnamayādi-kramopāsakasya upāsanā bhūmikāroha-sthāna-bhede hi priyādi-śabdas tasyaiva ānanda-mayasya brahmaṇaḥ udayopacayāpacayau vivakṣitau | tato nānyatropāsanāyāṁ teṣām ānandāmayaḥ pradhānasya iti nyāyena prāptir ity arthaḥ | ",10
117,"nanu etam ānanda-mayam upasaṅkrāmati ity asyāḥ śruteḥ para-brahma-viṣayatvaṁ nāsti, anna-mayādīnām upasaṅkramitavyānāṁ pravāha-patitatvāt ? naivaṁ, tat-pravāha-patitatve’pi sarvāntaratvāt arundhatī-darśanavat pratipādya-rūpatvam eva prasajyeta | na copasaṅkramārthatvena tasya paratvaṁ pratihanyate, tad-āvirbhāva-mātrārthatvāt, yathā brahma-vid āpnoti paraṁ [tai.u. 2.1.2] iti |",3
119,"puccha-vādinām api puccha-pravāha-patitatvena brahmaṇo’pi pūrvavat pucchatvam evāpateta | tatra yadi vacanāntara-svārasyenāvayavatā syāt, tarhi ihāpi pūrva-darśitatvena bhaviṣyati | tathā, tasyaiṣa eva śārīra ātmā yaḥ pūrvasya tasmād vā etasmāt ity aneātmatvenopakrāntasyānanda-mayasyaiva sarvatra śārīratvaṁ pratipadyate | śruti-nirdiṣṭa-pṛthivy-ādi-lakṣaṇa-śarīrāntaryāmitvāpekṣayeti śarīratva-śravaṇam api na doṣāya | ",3
120,"yad vānanda-mayatve’pi tasyaiva eva śārīra ātmā ity anena tasyāpy ātmānyaḥ śrūyate, tat tu tasyātmāntaraṁ nāstīti vivakṣayā, śilā-putrasya tu śilā-putra eva śarīram itivat | yathānyeṣām anna-mayasya prasiddha-śārīratva-niṣedhas tu—netaro’nupapatteḥ [ve.sū. 1.1.17] ity-ādau svayam eva sūtra-kāraiḥ kariṣyate |",5
121,"tasmād ānanda-maya-śabdena para-brahmevocyate | tathā so’kāmayata [tai.u.] iti, raso vai saḥ [tai.u. 2.6.1] iti puṁ-liṅgenaiva nirdeśād api sa eva, na tu puccham | tata etam ānanda-mayam ity atrāntima-vākye ca tan-nirdeśaḥ saṁvadate | tasmād vā etasmād ātmanaḥ śabdākarṣeṇa tan-nirdeśa-gatiś ca viprakarṣātiśaya eva parāhataḥ |",7
122,"kiṁ ca, satyaṁ jñānam anantaṁ brahma iti yal lakṣitaṁ tad eva tasmād vā etasmād ātmanaḥ ity anena nirdiśyate | tasya ca sarvāntaratvenātmatvaṁ vyañjayad vākyaṁ taṁ tam atikramya, anyo’ntara ātmānanda-mayaḥ [tai.ā. 5.2] ity ānanda-maya evātmatvaṁ samāpayati | tata ātmā śabda-karṣaṇenāpi sa evādyataḥ syāt | na cātmatvenānirdiṣṭaṁ puccham iti |",9
123,"evaṁ śrutibhir api puruṣa-vidho’nvayo’tra caramo’nna-mayādiṣu yaḥ, sad-asataḥ paraṁ tvam atha yad eṣv avaśeṣam ṛtaṁ [bhā.pu. 10.87.17] ity atrānna-mayādi-sāhacaryāt caramo’yam iti puṁliṅga-nirdeśāc cānanda-maya eva paraṁ brahmety aṅgīkriyate |",3
124,caturveda-śikhā tu spaṣṭam eva vyācaṣṭe sa-śira ity ādinā | tasmād ānanda-maya ātmā para-brahmaiveti sthitam |,3
125,"atha tatrāpy āśaṅkā sūtrayati—vikāra-śabdān neti cen na prācuryāt [ve.sū. 1.1.13] | atra prācurya eva mayaḍ-vihitaḥ, na vikāra ity arthaḥ | tad eka-vastuny api prācuryaṁ yujyate | pracura-prakāśo raviḥ itivat prācuryaṁ hy atra prakāśasya candrādy-apekṣayā | tataś ca prakāśaḥ prācuryeṇa prastuto’treti vivaruyā prakāśamayo raviḥ ity api syāt |",3
126,"tat prakṛta-vacane mayaṭ [pā. 5.4.27] iti smṛter viṣayatvaṁ dṛśyate iti | atreti bheda-vivakṣā ca pratimāyāḥ śarīram itivat, prayujyate ca—brahma-tejo-mayaṁ divyam iti śrī-hari-vaṁśe | ātmā jñāna-mayaḥ śuddhaḥ iti |",6
128,"tat-pracuratvaṁ hi tat-prabhūtatvaṁ tac cetarasya sattāṁ nāvagamayati, api tu tasyālpatvaṁ nivarayati | itara-sad-bhāvāsad-bhāvau tu pramāṇāntarāvaseyau | iha ca pramāṇāntareṇa tad-abhāvo’vagamyate | apahata-pāpmā [chā.u. 8.1.5] ity ādinā tāvad eva vaktavyam |",3
129,brahmānandasya prabhūtatvam anyānandasyālpatvam apekṣata iti | ucyate ca tat—sa eko mānuṣa ānandaḥ [tai.ā. 8] ity ādinā jīvānandāpekṣayā brahmānando niratiśaya-daśāpannaḥ prastuta itīti ||,3
130,"ata evānanda-mayaṁ prastutya—raso vai saḥ, rasaṁ hy evāyaṁ labdhvānandī bhavati | ko hy evānyāt, kaḥ prāṇyāt yad eṣa ākāśa ānando na syāt | eṣa hy evānandayati [tai.u. 2.7], saiṣānandasya mīmāṁsā bhavati [tai.u. 2.8] etam ānandamayam upasaṅkrāmayati, ānandaṁ brahmaṇo vidvān na bibheti kutaścana [tai.u. 2.9] ity ānandānanda-mayayor ekārthatā-vinyāsenābhyāso dṛśyate | ",7
131,ānando brahmeti vyajānāt [tai.u. 3.6] ity ādivat tattvam eva sphuṭam abhyasyati | tad eka-svarūpe’py ānanda-maye priyādi-bhedaś ca prātastya-sāṅgavīya-mādhyāhnika-bhedavad bhāvānuprakāśe | ,2
132,"ata evaitasminn ānanda-maye vastv antarābhāva-vvakṣayaivoktam—yadā hy evaiṣa etasminn udaram antaraṁ kurute | atha tasya bhayaṁ bhavati [tai.u. 2.6] iti | kiṁ vā, yadā hy evaiṣa etasminn adṛśye’nātmye’nirukte’nilayane’bhayaṁ pratiṣṭhāṁ vindate | atha so’bhayaṁ gato bhavati [tai.u. 2.6] iti pūrvokteḥ sarvathā tan-niṣṭhaiva kartavyā | tatra vyavadhāna-kartur bhayaṁ bhavatīty arthaḥ | tad uktaṁ śrī-parāśareṇa—",5
134,yan-muhūrtaṁ kṣaṇaṁ vāpi vāsudevo na cintyate || iti |,4
137,pravāha-praveśe tu brahma-puccham ity atra puccha-śabdo’pi duṣyed ity avocāmaḥ—kiṁ vānnamayādiṣv api na sarvatra vikārārthatādhigamyate | tan-mate’pi prāṇa-maya eva tyaktatvāt | tatra hi prāṇāpānādiṣu prāṇa-vṛtteḥ prācuryād eva mayaṭ | pṛthivī pucchaṁ pratiṣṭhā [tai.u. 2.2.1] ity atra ca pṛthivy-abhimāni-devatāyāṁ prāṇa-vikāratvābhāvaḥ |,6
139,"kiṁ ca, ānanda-śabdena tatra śuddha-brahmaiva mataṁ tasya ca vikāro na sambhavati | tasmān na vikārārthatā-prāptiḥ | hetv-antareṇa sūtrayati—tad-dhetu-vyapadeśāc ca [ve.sū. 1.1.15] iti | itaś ca prācuryārthe mayaṭ, na tu vikārārthe | yasmād ānanda-hetutvaṁ tasyaivopadiśati śrutiḥ—eṣa hy evānandayati [tai.u. 2.7] iti ānandayatīty arthaḥ | yathā, loke pracura-prakāśa-lakṣaṇaḥ sūryādir eva sarvaṁ prakāśayati, na tuccha-prakāśa-lakṣaṇa-kṣudra-tārakādiḥ |",3
140,"na ca prakāśa-vikāra-pracuro’pi jalādiḥ | tathā sarvato’pi pracurānanda-lakṣaṇaṁ brahmaiva sarvam ānandayet | anena hetu-vyapadeśena prācuryasya svarūpātiśaya-paratvena vyajyate | prakāśa-yuktena ca ratnādinā yat-prakāśanam, tad api tatra-sthitena prakāśenaiva bhavati, na tu pārthivāṁśena | tasmād ānanda evānandayati, tad etat vyañjitam eva-kāreṇa | śrutyā—eṣa hy eva [tai.u. 2.6] iti |",3
