paragraph_index,original_iast,aksharamukha_output,sanscript_output
67,"ato viṣṇu-dharmottarādau yac ca dvāpare śuka-pakṣa-varṇatvam, kalau ca nīla-ghana-varṇatvaṁ śrūyate, tad api yadā śrī-kṛṣṇāvatāro na syāt, tad dvāpara-viṣayam eva mantavyam | evaṁ ca yad-dvāpare śrī-kṛṣṇo’vatarati, tad-anantara-kalāv eva śrī-gauro’py avataratīti svārasya-labdheḥ, sākṣāt svayaṁ śrī-kṛṣṇāvirbhāva-viśeṣa evāyaṁ śrī-gaura ity āyāti, tad-avyabhicārāt | ata eva yad viṣṇu-dharmottare nirṇītam—","अतो विष्णुधर्मोत्तरादौ यच् च द्वापरे शुकपक्षवर्णत्वम्, कलौ च नीलघनवर्णत्वं श्रूयते, तद् अपि यदा श्रीकृष्णावतारो न स्यात्, तद् द्वापरविषयम् एव मन्तव्यम् । एवं च यद्द्वापरे श्रीकृष्णोऽवतरति, तदनन्तरकलाव् एव श्रीगौरोऽप्य् अवतरतीति स्वारस्यलब्धेः, साक्षात् स्वयं श्रीकृष्णाविर्भावविशेष एवायं श्रीगौर इत्य् आयाति, तदव्यभिचारात् । अत एव यद् विष्णुधर्मोत्तरे निर्णीतम्—","अतो विष्णुधर्मोत्तरादौ यच् च द्वापरे शुकपक्षवर्णत्वम्, कलौ च नीलघनवर्णत्वꣳ श्रूयते, तद् अपि यदा श्रीकृष्णावतारो न स्यात्, तद् द्वापरविषयम् एव मन्तव्यम् । एवꣳ च यद्द्वापरे श्रीकृष्णोऽवतरति, तदनन्तरकलाव् एव श्रीगौरोऽप्य् अवतरतीति स्वारस्यलब्धेः, साक्षात् स्वयꣳ श्रीकृष्णाविर्भावविशेष एवायꣳ श्रीगौर इत्य् आयाति, तदव्यभिचारात् । अत एव यद् विष्णुधर्मोत्तरे निर्णीतम्—"
71,kaler ante ca samprāpte kalkinaṁ brahma-vādinām |,कलेर् अन्ते च सम्प्राप्ते कल्किनं ब्रह्मवादिनाम् ।,कलेर् अन्ते च सम्प्राप्ते कल्किनꣳ ब्रह्मवादिनाम् ।
76,"tad etad-āvirbhāvatvaṁ tasya svayam eva viśeṣaṇa-dvārā vyanakti—kṛṣṇa-varṇam | kṛṣṇety etau varṇau yatra yasmin śrī-kṛṣṇa-caitanya-deva-nāmni śrī-kṛṣṇatvābhivyañjakaṁ kṛṣṇeti varṇa-yugalaṁ prayuktam astīty arthaḥ | tṛtīye śrīmad-uddhava-vākye—samāhutāh[bhā.pu. 3.3.3] ity-ādi-padye, śriyaḥ savarṇena ity atra [śrīdhara-svāmi-pāda-kṛtāyāṁ] ṭīkāyām, “śriyo rukmiṇyāḥ samānaṁ varṇa-dvayaṁ vācakaṁ yasya sa śriyaḥ sa-varṇo rukmī” ity api dṛśyate | ","तद् एतदाविर्भावत्वं तस्य स्वयम् एव विशेषणद्वारा व्यनक्ति—कृष्णवर्णम् । कृष्णेत्य् एतौ वर्णौ यत्र यस्मिन् श्रीकृष्णचैतन्यदेवनाम्नि श्रीकृष्णत्वाभिव्यञ्जकं कृष्णेति वर्णयुगलं प्रयुक्तम् अस्तीत्य् अर्थः । तृतीये श्रीमदुद्धववाक्ये—समाहुताह्[भा.पु. ३.३.३] इत्यादिपद्ये, श्रियः सवर्णेन इत्य् अत्र [श्रीधरस्वामिपादकृतायां] टीकायाम्, “श्रियो रुक्मिण्याः समानं वर्णद्वयं वाचकं यस्य स श्रियः सवर्णो रुक्मी” इत्य् अपि दृश्यते । ","तद् एतदाविर्भावत्वꣳ तस्य स्वयम् एव विशेषणद्वारा व्यनक्ति—कृष्णवर्णम् । कृष्णेत्य् एतौ वर्णौ यत्र यस्मिन् श्रीकृष्णचैतन्यदेवनाम्नि श्रीकृष्णत्वाभिव्यञ्जकꣳ कृष्णेति वर्णयुगलꣳ प्रयुक्तम् अस्तीत्य् अर्थः । तृतीये श्रीमदुद्धववाक्ये—समाहुताह्[भा.पु. ३.३.३] इत्यादिपद्ये, श्रियः सवर्णेन इत्य् अत्र [श्रीधरस्वामिपादकृतायाꣳ] टीकायाम्, “श्रियो रुक्मिण्याः समानꣳ वर्णद्वयꣳ वाचकꣳ यस्य स श्रियः सवर्णो रुक्मी” इत्य् अपि दृश्यते । "
78,"yad vā, kṛṣṇaṁ varṇayati tādṛśa-sva-paramānanda-vilāsa-smaraṇollāsa-vaśatayā svayaṁ gāyati, parama-kāruṇikatayā ca sarvebhyo’pi lokebhyas tam evopadiśati yas tam | ","यद् वा, कृष्णं वर्णयति तादृशस्वपरमानन्दविलासस्मरणोल्लासवशतया स्वयं गायति, परमकारुणिकतया च सर्वेभ्योऽपि लोकेभ्यस् तम् एवोपदिशति यस् तम् । ","यद् वा, कृष्णꣳ वर्णयति तादृशस्वपरमानन्दविलासस्मरणोल्लासवशतया स्वयꣳ गायति, परमकारुणिकतया च सर्वेभ्योऽपि लोकेभ्यस् तम् एवोपदिशति यस् तम् । "
80,athavā svayam akṛṣṇaṁ gauraṁ tviṣā sva-śobhā-viśeṣeṇaiva kṛṣṇa-varṇaṁ kṛṣṇopadeṣṭāraṁ ca | yad-darśanenaiva sarveṣāṁ śrī-kṛṣṇaḥ sphuratīty arthaḥ | ,अथवा स्वयम् अकृष्णं गौरं त्विषा स्वशोभाविशेषेणैव कृष्णवर्णं कृष्णोपदेष्टारं च । यद्दर्शनेनैव सर्वेषां श्रीकृष्णः स्फुरतीत्य् अर्थः । ,अथवा स्वयम् अकृष्णꣳ गौरꣳ त्विषा स्वशोभाविशेषेणैव कृष्णवर्णꣳ कृष्णोपदेष्टारꣳ च । यद्दर्शनेनैव सर्वेषाꣳ श्रीकृष्णः स्फुरतीत्य् अर्थः । 
82,"kiṁ vā, sarva-loka-dṛṣṭāv akṛṣṇaṁ gauram api bhakta-viśeṣa-dṛṣṭau tviṣā prakāśa-viśeṣeṇa kṛṣṇa-varṇaṁ tādṛśa-śyāmasundaram eva santam ity arthaḥ | tasmāt tasmin sarvathā śrī-kṛṣṇa-rūpasyaiva prakāśāt tasyaiva sākṣād āvirbhāvaḥ svayaṁ sa iti bhāvaḥ |","किं वा, सर्वलोकदृष्टाव् अकृष्णं गौरम् अपि भक्तविशेषदृष्टौ त्विषा प्रकाशविशेषेण कृष्णवर्णं तादृशश्यामसुन्दरम् एव सन्तम् इत्य् अर्थः । तस्मात् तस्मिन् सर्वथा श्रीकृष्णरूपस्यैव प्रकाशात् तस्यैव साक्षाद् आविर्भावः स्वयं स इति भावः ।","किꣳ वा, सर्वलोकदृष्टाव् अकृष्णꣳ गौरम् अपि भक्तविशेषदृष्टौ त्विषा प्रकाशविशेषेण कृष्णवर्णꣳ तादृशश्यामसुन्दरम् एव सन्तम् इत्य् अर्थः । तस्मात् तस्मिन् सर्वथा श्रीकृष्णरूपस्यैव प्रकाशात् तस्यैव साक्षाद् आविर्भावः स्वयꣳ स इति भावः ।"
84,"tasya śrī-bhagavattvam eva spaṣṭayati—sāṅgopāṅgāstra-pārṣadam, bahubhir mahānubhāvair asakṛd eva tathā dṛṣṭo’sāv iti gauḍa-varendra-baṅga-śuhmotkalādi-deśīyānāṁ mahā-prasiddhiḥ | tathāṅgāni, parama-manoharatvāt | upāṅgāni bhūṣaṇādīni, mahā-prabhāvavattvāt, tāny evāstrāṇi sarvadaikānta-vāsitvāt | tāny eva pārṣadā | yad vā, atyanta-premāspadatvāt tat-tulyā eva pārṣadāḥ śrīmad-advaitācārya-mahānubhāva-caraṇa-prabhṛtayaḥ, taiḥ saha vartamānam iti cārthāntareṇa vyaktam | ","तस्य श्रीभगवत्त्वम् एव स्पष्टयति—साङ्गोपाङ्गास्त्रपार्षदम्, बहुभिर् महानुभावैर् असकृद् एव तथा दृष्टोऽसाव् इति गौडवरेन्द्रबङ्गशुह्मोत्कलादिदेशीयानां महाप्रसिद्धिः । तथाङ्गानि, परममनोहरत्वात् । उपाङ्गानि भूषणादीनि, महाप्रभाववत्त्वात्, तान्य् एवास्त्राणि सर्वदैकान्तवासित्वात् । तान्य् एव पार्षदा । यद् वा, अत्यन्तप्रेमास्पदत्वात् तत्तुल्या एव पार्षदाः श्रीमदद्वैताचार्यमहानुभावचरणप्रभृतयः, तैः सह वर्तमानम् इति चार्थान्तरेण व्यक्तम् । ","तस्य श्रीभगवत्त्वम् एव स्पष्टयति—साङ्गोपाङ्गास्त्रपार्षदम्, बहुभिर् महानुभावैर् असकृद् एव तथा दृष्टोऽसाव् इति गौडवरेन्द्रबङ्गशुह्मोत्कलादिदेशीयानाꣳ महाप्रसिद्धिः । तथाङ्गानि, परममनोहरत्वात् । उपाङ्गानि भूषणादीनि, महाप्रभाववत्त्वात्, तान्य् एवास्त्राणि सर्वदैकान्तवासित्वात् । तान्य् एव पार्षदा । यद् वा, अत्यन्तप्रेमास्पदत्वात् तत्तुल्या एव पार्षदाः श्रीमदद्वैताचार्यमहानुभावचरणप्रभृतयः, तैः सह वर्तमानम् इति चार्थान्तरेण व्यक्तम् । "
86,"tam evaṁ-bhūtaṁ kair yajanti ? yajñaiḥ pūjā-sambhāraiḥ | na yatra yajñeśa-makhā mahotsavāḥ [bhā.pu. 5.19.23] ity ukteḥ | tatra ca viśeṣaṇena tam evābhidheyaṁ vyanakti—saṅkīrtanaṁ bahubhir militvā tad-gāna-sukhaṁ śrī-kṛṣṇa-gānam, tat-pradhānaiḥ | tathā saṅkīrtana-prādhānyasya tad-āśriteṣv asakṛd eva darśanāt sa evātrābhidheya iti spaṣṭam ||1|| ","तम् एवंभूतं कैर् यजन्ति ? यज्ञैः पूजासम्भारैः । न यत्र यज्ञेशमखा महोत्सवाः [भा.पु. ५.१९.२३] इत्य् उक्तेः । तत्र च विशेषणेन तम् एवाभिधेयं व्यनक्ति—सङ्कीर्तनं बहुभिर् मिलित्वा तद्गानसुखं श्रीकृष्णगानम्, तत्प्रधानैः । तथा सङ्कीर्तनप्राधान्यस्य तदाश्रितेष्व् असकृद् एव दर्शनात् स एवात्राभिधेय इति स्पष्टम् ॥१॥ ","तम् एवꣳभूतꣳ कैर् यजन्ति ? यज्ञैः पूजासम्भारैः । न यत्र यज्ञेशमखा महोत्सवाः [भा.पु. ५.१९.२३] इत्य् उक्तेः । तत्र च विशेषणेन तम् एवाभिधेयꣳ व्यनक्ति—सङ्कीर्तनꣳ बहुभिर् मिलित्वा तद्गानसुखꣳ श्रीकृष्णगानम्, तत्प्रधानैः । तथा सङ्कीर्तनप्राधान्यस्य तदाश्रितेष्व् असकृद् एव दर्शनात् स एवात्राभिधेय इति स्पष्टम् ॥१॥ "
89,bhakty-ābhāsenāpi toṣaṁ dadhāne,भक्त्याभासेनापि तोषं दधाने,भक्त्याभासेनापि तोषꣳ दधाने
92,tattve tasmin nityam āstāṁ ratir naḥ ||,तत्त्वे तस्मिन् नित्यम् आस्तां रतिर् नः ॥,तत्त्वे तस्मिन् नित्यम् आस्ताꣳ रतिर् नः ॥
94,māyāvādaṁ yas tamaḥ-stomam,मायावादं यस् तमःस्तोमम्,मायावादꣳ यस् तमःस्तोमम्
95,uccair nāśaṁ ninye veda-vāg-aṁśu-jālaiḥ |,उच्चैर् नाशं निन्ये वेदवागंशुजालैः ।,उच्चैर् नाशꣳ निन्ये वेदवागꣳशुजालैः ।
97,jīyāt so’yaṁ bhānur ānanda-tīrthaḥ ||,जीयात् सोऽयं भानुर् आनन्दतीर्थः ॥,जीयात् सोऽयꣳ भानुर् आनन्दतीर्थः ॥
99,govindābhidham indirāśrita-padaṁ hasta-stha-ratnādivat |,गोविन्दाभिधम् इन्दिराश्रितपदं हस्तस्थरत्नादिवत् ।,गोविन्दाभिधम् इन्दिराश्रितपदꣳ हस्तस्थरत्नादिवत् ।
100,tattvaṁ tattva-vid uttamau kṣiti-tale yau darśayāñcakratuḥ ||,तत्त्वं तत्त्वविद् उत्तमौ क्षितितले यौ दर्शयाञ्चक्रतुः ॥,तत्त्वꣳ तत्त्वविद् उत्तमौ क्षितितले यौ दर्शयाञ्चक्रतुः ॥
105,yaḥ sāṅkhya-paṅkena kutarka-pāṁśunā,यः साङ्ख्यपङ्केन कुतर्कपांशुना,यः साङ्ख्यपङ्केन कुतर्कपाꣳशुना
107,śuddhaṁ vyadhād vāk-sudhayā maheśvaraṁ,शुद्धं व्यधाद् वाक्सुधया महेश्वरं,शुद्धꣳ व्यधाद् वाक्सुधया महेश्वरꣳ
108,kṛṣṇaṁ sa jīvaḥ prabhur astu no gatiḥ ||,कृष्णं स जीवः प्रभुर् अस्तु नो गतिः ॥,कृष्णꣳ स जीवः प्रभुर् अस्तु नो गतिः ॥
110,ālasyā apravṛttiḥ syāt puṁsāṁ yad grantha-vistare |,आलस्या अप्रवृत्तिः स्यात् पुंसां यद् ग्रन्थविस्तरे ।,आलस्या अप्रवृत्तिः स्यात् पुꣳसाꣳ यद् ग्रन्थविस्तरे ।
115,"śrī-bādarāyaṇo bhagavān vyāso brahma-sūtrāṇi prakāśya tad-bhāṣya-bhūtaṁ śrī-bhāgavatam āvirbhāvya śukaṁ tad-adhyāpitavān | tad-arthaṁ nirṇetu-kāmaḥ śrī-jīvaḥ pratyūha-kulācala-kuliśaṁ vāñchita-pīyūṣa-balāhaka-sveṣṭa-vastu-nirdeśaṁ maṅgalam ācarati kṛṣṇeti | nimi-nṛpatinā pṛṣṭaḥ karabhājano yogī satyādi-yugāvatārānuktvā’tha kalāv api tathā śṛṇu [bhā.pu. 11.5.31] iti tam avadhāpyāha—kṛṣṇa-varṇam iti | sumedhaso janāḥ kalāv api hariṁ bhajanti | kaiḥ ? ity āha saṅkīrtana-prāyair yajñaiḥ arcanair iti | kīdṛśaṁ tam ? ity āha—kṛṣṇo varṇo rūpaṁ yasyāntar iti śeṣaḥ | tviṣā kāntyā tv akṛṣṇam | śuklo raktas tathā pītaḥ idānīṁ kṛṣṇatāṁ gataḥ [bhā.pu. 10.8.13] iti gargokti-pāriśeṣya-vidyud-gauram ity arthaḥ | aṅge nityānandādvaitau | upāṅgāni śrīvāsādayaḥ | astrāṇi avidyā-cchettṛtvād bhagavan-nāmāni | pārṣadān gadādhara-govindāyaḥ | taiḥ sahitam iti mahābalitvaṁ vyajyate | garga-vākye pīta iti prācīna-tad-avatārāpekṣayā | ayam avatāraḥ śveta-varāha-kalpa-gatāṣṭaviṁśa-vaivasvatam anvantarīya-kalau bodhyaḥ | tatratye śrī-caitanya evokta-dharma-darśanāt | anyeṣu kaliṣu kvacic chyāmatvena kvacic chuka-patrābhatvena vyakter ukteḥ | channaḥ kalau yad abhavaḥ [bhā.pu. 7.9.38] iti,śuklo raktas tathā pītaḥ [bhā.pu. 10.8.13] iti,kalāv api tathā śṛṇu [bhā.pu. 11.5.31] itica | ye vimṛśanti te sumedhasaḥ | channatvaṁ ca preyasī-tviṣāvṛtatvaṁ bodhyam | ","श्रीबादरायणो भगवान् व्यासो ब्रह्मसूत्राणि प्रकाश्य तद्भाष्यभूतं श्रीभागवतम् आविर्भाव्य शुकं तदध्यापितवान् । तदर्थं निर्णेतुकामः श्रीजीवः प्रत्यूहकुलाचलकुलिशं वाञ्छितपीयूषबलाहकस्वेष्टवस्तुनिर्देशं मङ्गलम् आचरति कृष्णेति । निमिनृपतिना पृष्टः करभाजनो योगी सत्यादियुगावतारानुक्त्वाऽथ कलाव् अपि तथा शृणु [भा.पु. ११.५.३१] इति तम् अवधाप्याह—कृष्णवर्णम् इति । सुमेधसो जनाः कलाव् अपि हरिं भजन्ति । कैः ? इत्य् आह सङ्कीर्तनप्रायैर् यज्ञैः अर्चनैर् इति । कीदृशं तम् ? इत्य् आह—कृष्णो वर्णो रूपं यस्यान्तर् इति शेषः । त्विषा कान्त्या त्व् अकृष्णम् । शुक्लो रक्तस् तथा पीतः इदानीं कृष्णतां गतः [भा.पु. १०.८.१३] इति गर्गोक्तिपारिशेष्यविद्युद्गौरम् इत्य् अर्थः । अङ्गे नित्यानन्दाद्वैतौ । उपाङ्गानि श्रीवासादयः । अस्त्राणि अविद्याच्छेत्तृत्वाद् भगवन्नामानि । पार्षदान् गदाधरगोविन्दायः । तैः सहितम् इति महाबलित्वं व्यज्यते । गर्गवाक्ये पीत इति प्राचीनतदवतारापेक्षया । अयम् अवतारः श्वेतवराहकल्पगताष्टविंशवैवस्वतम् अन्वन्तरीयकलौ बोध्यः । तत्रत्ये श्रीचैतन्य एवोक्तधर्मदर्शनात् । अन्येषु कलिषु क्वचिच् छ्यामत्वेन क्वचिच् छुकपत्राभत्वेन व्यक्तेर् उक्तेः । छन्नः कलौ यद् अभवः [भा.पु. ७.९.३८] इति,शुक्लो रक्तस् तथा पीतः [भा.पु. १०.८.१३] इति,कलाव् अपि तथा शृणु [भा.पु. ११.५.३१] इतिच । ये विमृशन्ति ते सुमेधसः । छन्नत्वं च प्रेयसीत्विषावृतत्वं बोध्यम् । ","श्रीबादरायणो भगवान् व्यासो ब्रह्मसूत्राणि प्रकाश्य तद्भाष्यभूतꣳ श्रीभागवतम् आविर्भाव्य शुकꣳ तदध्यापितवान् । तदर्थꣳ निर्णेतुकामः श्रीजीवः प्रत्यूहकुलाचलकुलिशꣳ वाञ्छितपीयूषबलाहकस्वेष्टवस्तुनिर्देशꣳ मङ्गलम् आचरति कृष्णेति । निमिनृपतिना पृष्टः करभाजनो योगी सत्यादियुगावतारानुक्त्वाऽथ कलाव् अपि तथा शृणु [भा.पु. ११.५.३१] इति तम् अवधाप्याह—कृष्णवर्णम् इति । सुमेधसो जनाः कलाव् अपि हरिꣳ भजन्ति । कैः ? इत्य् आह सङ्कीर्तनप्रायैर् यज्ञैः अर्चनैर् इति । कीदृशꣳ तम् ? इत्य् आह—कृष्णो वर्णो रूपꣳ यस्यान्तर् इति शेषः । त्विषा कान्त्या त्व् अकृष्णम् । शुक्लो रक्तस् तथा पीतः इदानीꣳ कृष्णताꣳ गतः [भा.पु. १०.८.१३] इति गर्गोक्तिपारिशेष्यविद्युद्गौरम् इत्य् अर्थः । अङ्गे नित्यानन्दाद्वैतौ । उपाङ्गानि श्रीवासादयः । अस्त्राणि अविद्याच्छेत्तृत्वाद् भगवन्नामानि । पार्षदान् गदाधरगोविन्दायः । तैः सहितम् इति महाबलित्वꣳ व्यज्यते । गर्गवाक्ये पीत इति प्राचीनतदवतारापेक्षया । अयम् अवतारः श्वेतवराहकल्पगताष्टविꣳशवैवस्वतम् अन्वन्तरीयकलौ बोध्यः । तत्रत्ये श्रीचैतन्य एवोक्तधर्मदर्शनात् । अन्येषु कलिषु क्वचिच् छ्यामत्वेन क्वचिच् छुकपत्राभत्वेन व्यक्तेर् उक्तेः । छन्नः कलौ यद् अभवः [भा.पु. ७.९.३८] इति,शुक्लो रक्तस् तथा पीतः [भा.पु. १०.८.१३] इति,कलाव् अपि तथा शृणु [भा.पु. ११.५.३१] इतिच । ये विमृशन्ति ते सुमेधसः । छन्नत्वꣳ च प्रेयसीत्विषावृतत्वꣳ बोध्यम् । "
120,atra granthe skandhādhyāya-sūcakā yugmāṅkā grantha-kṛtāṁ santi | tebhyo’nye ye ṭippanī-krama-bodhāyāsmābhiḥ kalpitās te dvibindu-mastakāḥ | viṣaya-vākyebhyaḥ pare ye’ṅkās te tv abindu-mastakā bodhyāḥ ||1||,अत्र ग्रन्थे स्कन्धाध्यायसूचका युग्माङ्का ग्रन्थकृतां सन्ति । तेभ्योऽन्ये ये टिप्पनीक्रमबोधायास्माभिः कल्पितास् ते द्विबिन्दुमस्तकाः । विषयवाक्येभ्यः परे येऽङ्कास् ते त्व् अबिन्दुमस्तका बोध्याः ॥१॥,अत्र ग्रन्थे स्कन्धाध्यायसूचका युग्माङ्का ग्रन्थकृताꣳ सन्ति । तेभ्योऽन्ये ये टिप्पनीक्रमबोधायास्माभिः कल्पितास् ते द्विबिन्दुमस्तकाः । विषयवाक्येभ्यः परे येऽङ्कास् ते त्व् अबिन्दुमस्तका बोध्याः ॥१॥
123,caitanyaṁ paramānandam advaitaṁ dvaita-kāraṇam |,चैतन्यं परमानन्दम् अद्वैतं द्वैतकारणम् ।,चैतन्यꣳ परमानन्दम् अद्वैतꣳ द्वैतकारणम् ।
124,śrī-kṛṣṇaṁ rādhayā sārdhaṁ praṇamāmi jagad-gatim ||,श्रीकृष्णं राधया सार्धं प्रणमामि जगद्गतिम् ॥,श्रीकृष्णꣳ राधया सार्धꣳ प्रणमामि जगद्गतिम् ॥
