paragraph_index,original_iast,run_count
106,yato vā imāni bhūtāni jāyante | yena jātāni jīvanti | yat prayanty abhisaṁviśanti | tad brahma | tad vijijñāsasva | iti | iha saṁśayaḥ | jijñāsyaṁ brahma jīvaḥ sarveśvaro veti ? ,2
108,vijñānaṁ brahma ced veda tasmāc cen na pramādyati | ,2
109,śarīre pāpmano hitvā sarvān kāmān samaśnute || ,2
113,janmādy asya yataḥ ||,2
115,chāndogye jāna-śrutir ha pautrāyaṇaḥ [chā.u. 4.1.1] ity ādir ākhyāyikā śrūyate | tatra haṁsokti-śravaṇānantaraṁ sayugvāno raiṅkasya sannidhi-gatena jānaśrutinā go-niṣka-rathān darśayitvā devatāṁ pṛṣṭho raiṅka āha ahaha hāre tvā śūdra tavaiva saha gobhir astv [chā.u. 4.1.3] iti taṁ śūdra-śabdena sambodhya punar apy āhṛta-go-niṣka-ratha-kanyopahāraṁ tam ājahāremāḥ śūdrānenaiva mukhenālapayiṣyathā [chā.u. 4.2.5] ity uktvā saṁvarga-vidyām upadiṣṭavān iti varṇyate | iha bhavati saṁśayaḥ | veda-vidyāyāṁ śūdro’dhikriyate na veti | tatra manuṣyādhikāroktir aviśeṣāt sāmarthyādi-sattvāt śūdreti śrauta-liṅgāt purāṇādiṣu vidurādīnāṁ brahmavittva-darśanāc ca so’dhikriyata iti prāptau |,7
121,3. śāstra-yonitvādhikaraṇam,2
125,upakramopasaṁhārāv abhyāso’pūrvatā phalam |,2
126,artha-vādopapattī ca liṅgaṁ tātparya-nirṇaye || ,2
128,"iti yāni śāstrāṇi tātparya-nirṇetṝṇi ṣaḍ-vidhāni liṅgāni smṛtāni tāny api dvaita eva vilokyante | tathā hi, śvetāśvatarāḥ— dvā suparṇā ity upakramaḥ, anyam īśam ity upasaṁhāraḥ | tayor anyo’naśnann anyo’nyam īśam ity abhyāsaḥ | īśvara-sambandhi-bhedasya śāstraṁ vinā aprāter apūrvatā | vīta-śoka ity ādi phalam | asya mahimānam eti ity ādy artha-vādaḥ | anyo’naśnann ity upattiś cety evam anyatrāpy etāni mṛgyāṇi | ",11
130,"nanu, phalavaty ajñāte’rthe śāstra-tātparyāt tādṛśam advaitaṁ tasya gocaraḥ | vaikalyāj jñātatvāc ca dvaitam na tad-gocaraḥ | kintu anūdyamānam eva tad iti cen maivam | pṛthag ātmānaṁ preritāraṁ ca matvā juṣṭaṁs tatas tenāmṛtatvam eti ity ādinā śvetāśvatarais (1.6) tatra phalasyokteḥ | viruddha-dharmāvacchinna-pratiyogikatayā loke tasyājñātatvāc ca | advaitaṁ tv aphalam asvīkārād ajñātaṁ ca śaśa-śṛṅgavad asattvāt | yāni ca tad advaita-bodhakāni vākyāni kvacid vīkṣyante tāni tan-mātrāyatta-vṛttikatva-tad-vyāpyatvādibhiḥ śāstra-kṛtaiva saṅgamayiṣyante | śāstra-dṛṣṭyā tūpadeśo vāmadevavad ity upariṣṭhāt |",3
132,atha jagaj-janmādi-hetuḥ puruṣottamo’vicintyatvād vedāntenaiva bodhyo na tu tarkair iti vaktum ārambhaḥ |,3
134,sac-cid-ānanda-rūpāya kṛṣṇāyākliṣṭa-kāriṇe |,2
135,namo vedānta-vedyāya gurave buddhi-sākṣiṇe || iti gopāla-tāpayām | ,2
137,tat tv aupaniṣadaṁ puruṣaṁ pṛcchāmi iti bṛhad-āraṇyake paṭhyate ca |,2
141,śāstra-yonitvāt ||,2
143,".kṣatern ety ato nety ākṛṣyam | mumukṣubhir asau nānumeyaḥ | kutaḥ ? śāstreti | śāstram upaniṣad yonir bodha-hetur yasya tattvāt upaniṣad-bodhyatva-śravaṇād ity arthaḥ | anyathaupaniṣad-asamākhyā-virodhaḥ | mantavya iti śrutyā tu svānusāri-tarko ‘bhyupagataḥ | pūrvāparāvirodhena ko’rtho’trābhimato bhavet ity ādyam ūhanaṁ tarkaḥ śuṣka-tarkaṁ tu varjayet ity ādi śruteḥ | gautamādi-śuṣka-tarka-heyatvaṁ tu vakṣyate, tarkāpratiṣṭhānād iti | tasmāt vedāntāt viditvāsau dhyeya iti | idam evāduṣṭaṁ mramā¨¨eam iti sūtrayati | śrutes tu śabda-mūlatvād iti | itthaṁ ca harer ātma-mūrtitvam anubhūter anubhavitṛtvaṁ svātmaka-dharmādhiṣṭhāna-śālitvaṁ jagat-kartṛ nirvikāratvaṁ cety ādi—śrūyamāṇa-rūpatayā tasyopāsanaṁ sidhyati | tatrāha na khalu tāvad vedānta-vākya-gaṇaḥ prayoga-yogyaḥ siddhārtha-bodhakatvena prayojana-śūnyatvāt, sapta-dvīpāvasundharety ādi vākyavat | pravṛtti-nivṛtti-rūpa-sādhyārtha-bodhakāni vākyāni prayojanavattvāt prayoga-yogyāni dṛṣṭāni | artha-lipsur nṛpaṁ gacchet, mandāgnir na jalaṁ pibet, iti loke | sarva-kāmo yajeta, surāṁ na pibed iti vede ca | na hi prayojanam anuddiśya vākya-prayogaḥ sambhavati | tac ca pravṛtti-nivṛtti-sādhyeṣṭāpti-parihārātmakam avagatam | brahma khalu pariniṣpannaṁ vastu | tad-bodhakasya satyaṁ jñānam anantam ity ādi-vākyasya tac-chūnyatvān na tad-yogyatvam | yadi kaścit taṁ prayuyukṣur bhavet tarhi prayojanavad vākyaika-vākyatayā taṁ prayuñjānas tasyāpi tadvattvaṁ brūyāt | tasmāt kratu-devatā-kartṛ-pratipādanena tadvān tad-vākya-gaṇas tad-yogyo bhavatīti | āha caivaṁ jaiminiḥ | āmnāyasya kriyārthatvād ānarthakyam atad-arthānāṁ tasmād anityatvam ucyate tad-bhūtānāṁ kriyārthena samānmnāyo’rthasya tan-nimittatvād iti | maivaṁ bhramitavyam | pravṛtti-nivṛtti-bodhakatā-virahe’pi parama-pumartha-rūpa-brahmāstitva-bodhanenaiva tasya tadvattvāt nidhi-sattāvabodhaka-vākyavat | yathā tvad-gṛhe nidhir astīty āpta-vākyāt tat-prāpty-eka-lakṣaṇaḥ pum-arthas tathākṣayānanda-cid-rūpaṁ niravadya-sarva-suhṛd-ātma-pradaṁ mad-aṁśi brahmāstīti tat-sattva-pratyayād eva sa iti na tadvattva-virahaḥ | putras te jāto nāyaṁ sarpo rajjur evety ādiṣu svarūpa-pareṣv api vākyeṣu harṣa-bhaya-nivṛtti-rūpa-phalavattvaṁ dṛṣṭam | ",15
145,"kiṁ ca, sphuṭam asya tadvattvaṁ paridṛśyate—satyaṁ jñānam anantaṁ brahma yo veda nihitaṁ guhāyāṁ so’śnute sarvān kāmān ity ādiṣu | na cokta-rītyā kriyā-paratā tasya śakyā vaktuṁ prakaraṇa-bhedāt pratyuta karma-tat-phala-vigānāt śruta-hānya-śruta-kalpana-prasaṅgāc ca | na ca nikhila-jagad-udayādi-kāraṇe nitya-cid-vapuṣy ananta-kalyāṇa-guṇa-ratnākare śrīnivāse brahmaṇi vyutpannaṁ śāstram anya-paraṁ śakyaṁ kartum | pramā¨¨natvena sva-viṣayāvagati-paryavasāyitvāt | na cāmnāyasyety ādi-nyāyena jaimininā karma-paratvaṁ tasya samarthitam iti vācyaṁ tasya brahma-niṣṭhatvāt | tasmāt karma-prakaraṇa-sthānāṁ keṣāṁcid vākyānāṁ svāthān tyaktvaiva tat-paratvaṁ tena samarthitaṁ na tv anyat | tasmāt brahma-param eva tad iti sphuṭam ||3||",3
147,hds: 10.16.44. ,2
156,tat tu samanvayāt ||,2
158,tu-śabdaḥ śaṅkāc chedārthaḥ | tat-sarva-veda-vedyatvaṁ viṣṇor uktam | kutaḥ ? samanvayāt | anvayas tātparya-liṅgam | samanvayatvaṁ suvicāritatvam | suvimṛṣṭair upakramopasaṁhārādibhiḥ ṣaḍbhir liṅgais tatraiva śāstra-tātparyāt sa eva tad vedya ity arthaḥ | itarathā kathaṁ yo’sāv ity ādi-śruti-vākyopapattiḥ | āha caivaṁ bhagavān puṇḍarīkākṣaḥ | vedaiś ca sarvair aham eva vedyo vedānta-vid veda-vid eva cāham iti | ,3
160,kiṁ vidhatte kim ācaṣṭe kim anūdya vikalpayet |,2
161,ity asyā hṛdayaṁ loke nānyo mad veda kaścana |,2
162,māṁ vidhatte 'bhidhatte māṁ vikalpyāpohyate tv aham || [bhā.pu. 11.21.42-43] iti vā |,2
170,5. īkṣater adhikaraṇam,2
174,athokta-vakṣyamāṇa-samanvayopapattaye brahmaṇo’vācyatvam nirasyate | yato vāco nivartante aprāpya manasā saha iti taittarīyake | yad-vācānabhyuditaṁ yena vāg abhyupadyate tad eva brahma tad viddhi nedaṁ yad idam upāsata iti kenopaniṣadi ca paṭhyate | tatra saṁśayaḥ—aśabdaṁ śabda-vācyaṁ vā brahmeti ? śruti-svārasyād aśabdaṁ tat | anyathā sva-prakāśatā-hānāt | ,5
176,yato’prāpya nivartante vācaś ca manasā saha | ,2
177,ahaṁ cānya ime devās tasmai bhagavate namaḥ || iti smṛteś ca |,2
181,īkṣater nāśabdam ||,2
191,gauṇaś cen nātma-śabdāt ||,2
193,vācyatvena dṛṣṭo’sau sattvopādhiko na bhavet | kutaḥ ? ātma-śabdāt | ātmaivedam agra āsīt puruṣa-vidhaḥ iti vājasenayake | ātmā vā idam eka evāgra āsīt nānyat kiṁcana miṣat sa īkṣata lokān nu sṛjā ity aitareyake ca sṛṣṭeḥ pūrvasya puruṣasya ātma-śabdenābhidhānāt | tasya śabdasya pūrṇe brahmaṇi mukhya-vṛttatā prāg abhāni | ,7
195,vadanti tat tattva-vidas tattvaṁ yaj jñānam advayam |,2
196,brahmeti paramātmeti bhagavān iti śabdyate || [bhā.pu. 1.2.11],2
197,śuddhe mahā-vibhūtākhye pare brahmaṇi śabdyate |,2
198,maitreye bhagavac-chabdaḥ sarva-kāraṇa-kāraṇe || ,2
202,hds: 1.2.11.,3
206,tan-niṣṭhasya mokṣopadeśāt ||,2
208,caturṣu nety anuvartate | taittarīyake—asad vā idam agra āsīt tato vai sad ajāyata tad ātmānaṁ svayam akurutety ārabhya yadā hy evaiṣa etasminn adṛṣṭśye’nātmye’nirukte’nilayane’bhayaṁ pratiṣṭhāṁ vindate’tha so’bhayaṁ gato bhavati yadā ha avaiṣa etasminn udaram antaraṁ kurute atha tasya bhayaṁ bhavati iti prapa¨¨icātīte veda-vācye viśva-kartari tasmin para-brahmaṇi pariniṣṭhitasya vimukti-kathanān na sa gauṇaḥ | tasya gauṇatve tad-bhaktasya muktiṁ na brūyāt | nirguṇaḥ paramātmā tasyānuvṛttyā mokṣaḥ smaryate | ,3
210,harir hi nirguṇaḥ sākṣāt puruṣaḥ prakṛteḥ paraḥ |,2
211,sa sarva-dṛg upadraṣṭā taṁ bhajan nirguṇo bhavet || [bhā.pu. 10.88.5] iti ||7||,2
217,heyatva-vacanāc ca ||,2
225,svāpyayāt ||,2
234,sa devo bahudhā bhūtvā nirguṇaḥ puruṣottamaḥ | ,2
235,ekībhūya punaḥ śete nirdoṣo harir ādi-kṛt || iti ||,2
243,gati-sāmānyāt ||,2
245,gatiḥ avagatiḥ | vijñāna-ghanaḥ sarvajñaḥ sarva-śaktiḥ pūrṇo viśuddhaḥ paramātmā jagad-dhetur upāsitaḥ san vimukti-kṛd iti dhīr ity arthaḥ | tasyāḥ sarveṣu vedeṣu sāmānyād aikarūpyāt | tathā-bhūtasyaikasya brahmaṇaḥ sarveṣu tattayābhidhānāt | saguṇaṁ nirguṇaṁ ceti dvirūpatā nāstīty arthaḥ | smṛtiś ca mattaḥ parataraṁ nānyat kiṁcid asti dhanañjaya iti ||10||,4
253,śrutatvāc ca ||,2
256,eko devaḥ sarva-bhūteṣu gūḍhaḥ ,2
257,sarva-vyāpī sarva-bhūtāntarātmā |,2
258,karmādhyakṣaḥ sarva-bhūtādhivāsaḥ ,2
259,sākṣī cetā kevalo nirguṇaś ca || [śve.u. 6.11],2
263,"nanu nirguṇo’pi guṇavān iti viruddham | maivam | rahasyānavabodhāt | tathā hi, nirguṇādayaḥ śabdā nairguṇyādinā nimittena na tatra pravarteran | sarvajñādayas tu sārvajñyatvādinā | tena paramaiḥ sattvādibhiḥ guṇair vihīnaḥ svarūpānubandhibhiḥ tais tais tu viśiṣṭo’sāv iti na kāpi vicikitsā | smaranti cettham | sattvādayo na santīśe yatra ca paramā guṇāḥ, samasta-kalyāṇa-guṇātmako’sau ity ādibhiḥ | tasmāt pūrṇo viśuddho harir veda-vācyaḥ | anāmādi-śabdās tu guṇāprasiddhi-kārtsnyāgocaratvāditaḥ saṅgamanīyaḥ | tad-aprasiddhiś ca parama-vailakṣaṇyenāgrahāt | kārtsnyenāgocaratā tv ānantyāt | yas tu teṣāṁ sphuṭārthaṁ brūte sa evaṁ praṣṭavyaḥ | tais tasya bodhaḥ syān na vā ? iti | ādye te’pi tasyākhyāḥ | anye tu tad-ārambha-vaiphalyāpattir iti ||11||",3
275,"yasya samanvayasyopapādanāya vācyatvaṁ brahmaṇaḥ samarthitaṁ tam idānīṁ darśayaty ānandamaya ity ādinā yāvad adhyāya-pūrti | tatrāsmin prathame pāde prāyeṇānyatra prasiddhānāṁ śabdānāṁ brahmaṇi samanvayaḥ pradarśyate | taittarīyake—brahmavid āpnoti param ity upakramya, sa vā eṣa puruṣo’nna-rasa-mayaḥ ity ādinānna-maya-prāṇa-maya-mano-maya-vijñāna-mayān krameṇāmnāyedam abhidhīyate | tasmād vā etasmād vijñāna-mayād any’ntarātmānanda-mayas tenaiṣa pūrṇaḥ | sa vā eṣa puruṣa-vidha eva tasya puruṣa-vidhatām anvayaṁ puruṣa-vidhaḥ | tasya priyam eva śiraḥ, modo dakṣiṇaḥ pakṣaḥ, pramoda uttara-pakṣaḥ, ānanda ātmā, brahma pucchaṁ pratiṣṭhā [tai.u. 2.5] iti | ",7
279,ānanda-mayo’bhyāsāt ||,2
281,"paraṁ brahmaiva saḥ | kutaḥ ? abhyāsāt | pratiṣṭhāntenānanda-mayaṁ nirūpya—āsann eva sambhavati, asad brahmeti veda ced asti brahmeti ced veda santam enaṁ tato viduḥ [tai.u. 2.6] iti | tatraiva brahma-śabdasyābhyastatvāt | aviśeṣa-punaḥ-śrutir abhyāsaḥ | na cābhyāsaḥ puccha-brahmaṇīti vācyam | annād vai prajāḥ prajāyanta ity ādīnāṁ pucchānta-paṭhitānāṁ caturṇāṁ ślokānām anna-mayādi-pucchi-puruṣa-catuṣṭaya-paratvenāsyāpi ślokasya tathābhūtasyāpy ānandamayasyottarodaya-bhedena tat-tan-nāma-bhedāt tad-ayogāt | viśeṣatas tu tṛtīye vakṣyate priya-śirastvādy aprāpter ity ādinā | yat tv āhur annamayādy-asukha-pravāha-nipātān nānandamayasya mukhyatvam iti | naiṣa doṣaḥ | tasya sarvāntaratvāt | ajñānāṁ jñapti-saulabhyāya tathopadeśa-pravṛtteḥ | paramopakartā hi vedaḥ param evātmānaṁ vijijñāṣayiṣur arundhatī-darśana-nyāyenāparopadeśe’pi pravartate | ",5
283,"nanv etāvatā paratra tasya tātparyaṁ na vā parasyāmukhyatvam iti | kiṁ cottaratra brahma-jijñāsuṁ prati tat-pitā varuṇo viśvotpatty-ādi-hetu-bhūtaṁ vastu brahmety upadiśya punaḥ sa buddhy-artham anna-prāṇa-mano-vijñānāni krameṇa brahmety uktvānte tv ānanda-mayaṁ brahmety upadarśyopararāma | mad-ukteyaṁ vidyā bhagavan niṣṭhety abhidadhau | athopasaṁhāre’pi | sa ya evaṁ-vid asmāl lokāt pretya etam anna-mayam ātmānam upasaṇkrāmati [tai.u. 2.8.5] ity uktvā, etam ānanda-mayam ātmānam upasaṇkramya, imāṅl lokan kāmānnī kāma-rūpy anusañcaran | etat sāma gāyann āste [tai.u. 3.10.5] ity uktam, ataḥ paraṁ brahmaivānanda-mayaḥ puruṣa-vidho’nnamayo’tra caramo’nnamayādiṣu yaḥ sad-asataḥ paraṁ tvam atha yad eṣv avaśeṣam ṛtam iti smṛteś ca | śārīratvaṁ tu tasminn api na viruddham | yasya pṛthivī śarīram ity ādi śrutau tasyāpi tad-ukteḥ | ataḥ śārīrakam idaṁ śāstram | yat tv ānandamaya ity atra brahma-puccham ity ādi vyācaṣṭe, tan mandam | śabda-svārasya bhaṅgā deśikānugati-hānāc ca ||12||",9
291,"vikâra-śabdān neti cen, na prācuryāt ||",2
293,na hy ānanda-vikāratvād ānandamayaḥ | kutaḥ ? prācuryād ānandasya tat-prakṛta-vacane mayaḍ iti prācurye’rthe mayaḍ-vidhānāt | na ca vikāre mayaḍ astu | dvyacaś chandasīti niyamāt bahu-svarād vikārārthakasya tasyāprāpteḥ | na ca duḥkhāpty-asad-bhāvaḥ | eṣa sarva-bhūtāntarātmāpahata-pāpmā divyo deva eko nārāyaṇaḥ iti subāla-śruteḥ | paraḥ parāṇāṁ sakalā na yatra kleśādayaḥ santi parāvareśe iti smṛteś ca | tasmāt prakṛty-artha-prabhūtatvam evātra prācuryam | pracura-prakāśo ravir iti svarūpe ca yujyate pracura-śabdaḥ | tasmād ānanda-mayo na jīvaḥ ||13||,5
299,tad-dhetu-vyapadeśāc ca ||,2
301,ko hy evānyāt kaḥ prāṇyāt yady eṣa ākāśa ānando na syāt ? eṣa evānandayatīti jīvasyānandasya hetur ānandamaya [tai.u. 2.7] iti vyapadeśāc ca jīvād ānandayitā bhidyate | ity ānanda-śabdenānanda-mayo dṛśyaḥ ||14||,2
307,māntra-varṇikam eva ca gīyate ||,2
309,satyaṁ jñānam [tai.u. 2.1.3] iti mantra-varṇoktaṁ brahmaiva yasmād ānanda-maya iti gīyate’to nāsau jīvaḥ | ayaṁ bhāvaḥ—brahmavid āpnoti param ity upāsakasya jīvasya prāpya-brahmopakramya tad eva satyam ity ādi-mantreṇa viśeṣitam | tasyaivehānandamaya-śabdena grahaṇam ucitam | tasmād vā etasmād ity ādibhir uttarokter avākyais tasyaivopakrāntasya prpañcanāt | tataś ca prāpyaṁ brahma prāpta-jīva-vādanya-deveti nānanda-mayasya jīvatvam ||15||,4
317,netaro’nupapatteḥ ||,2
319,"itaro muktāvastho’pi jīvo na māntravarṇikaḥ | kutaḥ ? anupapatteḥ, so’śnute sarvān kāmān saha brahmaṇā vipaścitā iti saha-bhoga-śravaṇāsiddheḥ | vividhaṁ paśyati cit yasyāsau tena vipaścitā | pṛṣodarāditvāt paśya-śabdasya paśabhāvaḥ | vividha-bhoga-catureṇa tena saha saṁyuktaḥ sarvān kāmān aśnute bhuṅkte | aśa bhojane ity asmāt śrā-pratyaya-parasmaipadayor vyatyayena śnu-pratyayātmanepadayor vidhānam | vyatyayo bahulam iti chandasi tathā smṛteḥ | sahabhāvoktyā bhoge bhagavato prādhānyam | bhaktasya tu prādhānyam anabhimatam | vaśe kurvanti māṁ bhaktāḥ sat-striyaḥ sat-patiṁ yathā ity ādi tad-vākyāt ||16||",5
325,bheda-vyapadeśāt ||,2
327,raso vai saḥ | rasaṁ hy evāyaṁ labdhvānandī bhavati iti tasyaiva māntra-varṇikasyānandamayasya rasa-prāpteḥ tasya labhyasya labdhur jīvān muktāvasthād api bhedokteś ca māntra-varṇiko’sāv anya eva | brahmaiva san brahmāpnoti ity ādiṣv api na muktasya brahmābhedaḥ | brahmāpyayasya brahma-bhūtyānantara-bhāvitvāt | kintu brahma-sadṛśaḥ sann ity evārthaḥ | nirañjanaḥ paramaṁ sāmyam upaitīti śruteḥ | idaṁ jñānam upaśṛitya mama sādharmyam āgatāḥ ity ādi smṛteś ca | sādṛśye’py eva-śabdo’sti | vāva yathā tathaiveva sāmye ity anuśāsanāt ||17||,10
335,kāmāc ca nānumānāpekṣā ||,2
337,so’kāmayata bahu syāṁ prajāyeya iti saṅkalpād eva viśva-sarga-śruter nānumānasya pradhānasyāsminn ānanda-maya-vākyaṁ bhavaty apekṣā jaḍasya saṅkalpāsambhavāt ||18||,2
343,asminn asya ca tad-yogaṁ ca śāsti || ,2
356,atha ya eṣo’ntar āditye hiraṇmayaḥ puruṣo dṛśyate hiraṇya-śmaśrur hiraṇya-keśa ā praṇakhāt sarva eva suvarṇaḥ tasya yathā kapyāsaṁ puṇḍārīkam evam akṣiṇī tasyoditi nāma sa eṣa sarvebhyaḥ pāpmabhya udita udeti ha vai sarvebhyaḥ pāpmabhyo ya evaṁ veda | tasya rk ca sāma ca geṣṇau tasmād udgīthas tasmāt tv evodgātaitasya hi gātā sa eṣa ye cāmuṣmāt parāñco lokās teṣāṁ ceṣṭe deva-kāmānāṁ cety adhidaivatam || [chā.u. 1.6.6-8],2
358,atha ya eṣo’ntarakṣiṇi puruṣo dṛśyate saiva rk tat sāma tad ukthaṁ tad yajus tad brahma tasyaitasya tad eva rūpaṁ yad amuṣya rūpaṁ yāv amuṣya geṣṇau tau geṣṇau yan nāma tan nāma || [chā.u. 1.7.5] iti śrūyate |,2
362,antas tad-dharmopadeśāt ||,2
